"Name"	"lods"	"F.p.value"
"M6PR"	21.0464919183	"1.49615172962961e-14"
"M6PR"	108.961408959	"5.38141702398541e-53"
"SEP15"	153.7322858431	"1.70723614404353e-72"
"AHCY"	320.7485617284	"3.91051044964452e-145"
"HLA-E"	120.8272423384	"3.63823764981737e-58"
"HLA-E"	277.9246762489	"1.62085678059447e-126"
"PALLD"	49.199770552	"6.55544203033668e-27"
"PALLD"	187.4659147967	"3.56238494548861e-87"
"RPLP2"	-3.5841396449	0.0016668232
"RPLP2"	604.3549509182	"2.15055008576225e-268"
"CCT3"	513.8408473434	"4.6667069456414e-229"
"TACC1"	0.3187014676	"2.60903716956864e-05"
"EIF4A2"	320.985851757	"3.08376336410458e-145"
"PPM1G"	84.9758661475	"1.54376524050548e-42"
"KTN1"	39.2660200082	"1.47038845763510e-22"
"KTN1"	243.1279479109	"2.18937210237691e-111"
"TAGLN2"	471.022591398	"1.89415719364263e-210"
"SRPR"	35.584827285	"6.05137800885127e-21"
"SRPR"	289.0229170908	"2.42386678923041e-131"
"PHC2"	417.535907601	"3.33404167095160e-187"
"BTG1"	183.9307852526	"1.22991825186694e-85"
"BTG1"	197.0259440577	"2.46880455775247e-91"
"KDELR1"	171.2879106154	"3.90266975085629e-80"
"LGALS3BP"	253.1728798294	"9.37970671436525e-116"
"SLC3A2"	226.0516850966	"5.84497525032154e-104"
"COX6A1"	599.7157518397	"2.23215445471728e-266"
"RPS23"	588.7955382714	"1.24331085527939e-261"
"RAB14"	138.0329057854	"1.16768162449646e-65"
"RAB14"	797.5254430812	0
"TMED10"	371.8231184218	"2.46169853720781e-167"
"VCL"	-8.5191844288	0.8795188095
"VCL"	6.4826292737	"4.3193592939113e-08"
"DCTN2"	373.4454538514	"4.85385629039085e-168"
"RPS4X"	517.8806594164	"8.19142115441022e-231"
"DEK"	17.7097175496	"4.44645310619815e-13"
"CALR"	66.1136048832	"2.64295579892916e-34"
"RPL8"	612.2184022817	"8.22464537075796e-272"
"RPL5"	340.2078584735	"1.35936257434711e-153"
"RERE"	226.5001124179	"3.73034986547616e-104"
"RERE"	0.2119989789	"2.9186106951578e-05"
"RERE"	49.1558862712	"6.85184045539635e-27"
"HSBP1"	16.5426157422	"1.45872264215044e-12"
"HSBP1"	348.876026565	"2.31986734080930e-157"
"HMGN1"	333.7540396033	"8.68431271372464e-151"
"HMGN1"	254.4899345407	"2.50886037815564e-116"
"SEC31A"	442.3193100083	"5.6473403761321e-198"
"GLUD1"	22.4130470642	"3.73668631492910e-15"
"GLUD1"	31.1879773683	"5.15294139534139e-19"
"MLF2"	214.3972561138	"6.85267503159586e-99"
"RPS20"	539.9672918441	"2.0644206016713e-240"
"ARPC1A"	252.9602172699	"1.16055208628907e-115"
"CCND2"	-8.4008721831	0.6105371267
"CCND2"	238.1375865183	"3.23990247298234e-109"
"CCND2"	20.5054762889	"2.59189597608810e-14"
"ATP6V0C"	238.7514762548	"1.75210055055768e-109"
"IMMT"	384.4976363983	"7.62637473042857e-173"
"SSRP1"	164.7701741739	"2.6785676371511e-77"
"SSRP1"	142.8429842066	"9.3958257623592e-68"
"SDCBP"	58.6142865496	"5.00047832224216e-31"
"FUS"	171.4698873336	"3.25213683165227e-80"
"CLTA"	397.0935014428	"2.55691825313963e-178"
"SEPHS2"	98.1995967302	"2.64063012020508e-48"
"RPL31"	24.615117825	"4.00367774596434e-16"
"RPL31"	490.9182081103	"4.27495615985324e-219"
"UBA1"	511.546268867	"4.63666665771047e-228"
"ABLIM1"	-3.4153077815	0.0013878969
"ALDOA"	677.9186481134	"2.29712347055581e-300"
"PPIB"	477.4565556439	"3.02868448216859e-213"
"PPIB"	617.6066780499	"3.74437211986172e-274"
"SERP1"	64.5941686549	"1.21854328107253e-33"
"SERP1"	112.5973582679	"1.40115968144104e-54"
"SERP1"	373.7183064605	"3.69395657415301e-168"
