"Name"	"coefficients"	"df.residual"	"sigma"	"stdev.unscaled"	"Amean"	"s2.post"	"t"	"p.value"	"lods"	"F"	"F.p.value"
"OAZ1"	2.6516288793	1189	0.3255118921	0.1314473217	12.5325338088	0.1059525937	61.9733827783	0	849.916362636	3840.7001729911	0
"ATP6V0B"	3.1329052388	1189	0.51822481	0.1314473217	10.5134394677	0.2681315876	46.0279388663	"1.12820918987870e-266"	600.3976157491	2118.571156279	"1.12820918987870e-266"
"KARS"	1.4590281564	1189	0.484487599	0.1314473217	9.8528215449	0.2343902418	22.9267327172	"1.15033498753062e-96"	209.2821655572	525.635073085	"1.15033498753062e-96"
"200080_s_at"	2.1387833838	1189	0.4737778474	0.1314473217	11.8654456109	0.2241539641	34.3670178202	"1.92642209197663e-180"	401.9780544971	1181.0919138522	"1.92642209197663e-180"
"RPS6"	3.113516688	1189	0.462072192	0.1314473217	12.4795399446	0.2132275204	51.295329989	"5.88708081310899e-304"	686.1816072559	2631.2108786796	"5.88708081310899e-304"
"RPS7"	3.2873740997	1189	0.5720490295	0.1314473217	11.8459232094	0.3266631566	43.756976979	"3.27507610694339e-250"	562.5164371606	1914.6730343378	"3.27507610694339e-250"
"USP22"	2.0417736793	1189	0.5219560397	0.1314473217	9.7641109793	0.2720027168	29.7830546587	"3.64377034253463e-146"	323.1195344134	887.0303448042	"3.64377034253463e-146"
"C11orf58"	2.0388306705	1189	0.4452309682	0.1314473217	10.4375361266	0.197986891	34.8587009541	"3.93926015124379e-184"	410.4666277782	1215.1290322046	"3.93926015124402e-184"
"TCEB2"	3.6752083864	1189	0.5325883623	0.1314473217	10.870569021	0.2831860136	52.5405152348	"1.43727924921028e-312"	705.9969184938	2760.5057411413	"1.43727924920534e-312"
"COX4I1"	1.4755119095	1189	0.387825379	0.1314473217	10.7826940059	0.1502883176	28.9553198272	"4.94160954351952e-140"	309.013091775	838.4105462968	"4.94160954351952e-140"
"TMED2"	2.3091798122	1189	0.4063376218	0.1314473217	10.9740689843	0.1649520836	43.2540828489	"1.54513727383315e-246"	554.0630386407	1870.9156830985	"1.54513727383315e-246"
"RPL12"	2.0832061509	1189	0.4506516017	0.1314473217	12.8343601274	0.2028305991	35.1895546807	"1.29760256232393e-186"	416.1779989377	1238.3047586292	"1.297602562324e-186"
"RPL4"	2.0836958203	1189	0.4580829254	0.1314473217	11.7439398072	0.2095662574	34.6275607917	"2.13669886190551e-182"	406.4762018085	1199.0679663812	"2.13669886190539e-182"
"FNTA"	1.0125072971	1189	0.4708843191	0.1314473217	10.2925555574	0.2214276174	16.3693157836	"1.75520271323083e-54"	112.3728201746	267.9544992217	"1.75520271323083e-54"
"RPS25"	1.801488589	1189	0.5246274081	0.1314473217	11.066069248	0.2747913057	26.1443759655	"1.81840748537651e-119"	261.7106116991	683.5283946257	"1.81840748537651e-119"
"RPL37"	2.1795319338	1189	0.4931542151	0.1314473217	12.3932759556	0.2428412041	33.6473066529	"4.8372004366523e-175"	389.5540871424	1132.1412449972	"4.8372004366523e-175"
"HINT1"	2.5237210365	1189	0.6321775175	0.1314473217	9.8273755116	0.3988844586	30.3994725577	"9.5159613374521e-151"	333.6626710856	924.1279317854	"9.5159613374521e-151"
"EEF2"	2.4612830672	1189	0.5271772258	0.1314473217	11.8962543082	0.2774662888	35.5471436909	"2.69668917364479e-189"	422.349678873	1263.5994245816	"2.69668917364525e-189"
"RPS10"	2.4172242315	1189	0.4327824723	0.1314473217	13.2706838878	0.1870851747	42.515325736	"4.00785953364208e-241"	541.6053662534	1807.5529224403	"4.00785953364162e-241"
"ATP6V0E1"	1.6697181625	1189	0.5029200788	0.1314473217	10.6565689144	0.2525436052	25.2768669125	"3.16206126358669e-113"	247.3599272882	638.9200009098	"3.16206126358669e-113"
"HNRNPK"	1.7785158511	1189	0.4056682845	0.1314473217	10.4354048942	0.1644099815	33.3689013799	"5.92654708163485e-173"	384.7496069994	1113.4835793025	"5.92654708163485e-173"
"ANAPC5"	1.7897118136	1189	0.3849191027	0.1314473217	10.3503114766	0.1480483092	35.3858504227	"4.37140507658432e-188"	419.5660886982	1252.1584101348	"4.37140507658432e-188"
"RPS3A"	2.2523392987	1189	0.4467441488	0.1314473217	12.3774503075	0.1993331243	38.3788834736	"1.73342878654353e-210"	471.111202709	1472.9386966829	"1.73342878654353e-210"
"HNRNPU"	1.8511372805	1189	0.496899998	0.1314473217	9.9383539182	0.2465401537	28.362405023	"1.17043132450369e-135"	298.9507338154	804.42601869	"1.17043132450369e-135"
"HNRNPU"	2.3128957985	1189	0.3606371163	0.1314473217	11.4122494142	0.129991482	48.803040292	"1.75323369012619e-286"	645.9762659314	2381.7367417416	"1.75323369012619e-286"
"EIF3A"	1.1969671181	1189	0.5615026546	0.1314473217	9.4332341317	0.3147391732	16.2313663002	"1.11141375783177e-53"	110.5333609137	263.4572519701	"1.11141375783177e-53"
"EIF3A"	0.696503186	1189	0.445317608	0.1314473217	9.8708712735	0.1980638487	11.9060789759	"5.7908032979562e-31"	58.4685003446	141.7547165806	"5.7908032979562e-31"
"EIF3A"	0.1790864751	1189	0.495603298	0.1314473217	7.9950494643	0.2452564987	2.7510645775	0.0060301518	-4.7567473731	7.5683563098	0.0060301518
"HSP90B1"	2.2341433299	1189	0.7359861004	0.1314473217	9.3640024272	0.5405447509	23.1176382143	"5.45840375781926e-98"	212.3253971941	534.4251966052	"5.45840375781926e-98"
"HSP90B1"	1.9942303187	1189	0.3509796705	0.1314473217	11.1238104647	0.1231368318	43.2344148526	"2.15199638487069e-246"	553.7319788946	1869.2146276474	"2.15199638487094e-246"
"MSN"	1.8400907559	1189	0.6097157019	0.1314473217	9.9789393077	0.3710613311	22.9807740627	"4.85870776917572e-97"	210.1426553963	528.1159765221	"4.85870776917572e-97"
"ACTN4"	2.2970313808	1189	0.5721813602	0.1314473217	10.3598200408	0.3268141823	30.5678391531	"5.30318686217631e-152"	336.5472866363	934.392790489	"5.30318686217631e-152"
"APP"	1.176393245	1189	0.6968507321	0.1314473217	9.8375297088	0.4846149859	12.8558963021	"1.61809605492937e-35"	68.8910672285	165.2740697299	"1.61809605492937e-35"
"PRKAR1A"	1.5960287157	1189	0.5989999373	0.1314473217	10.1659991553	0.3581424726	20.2890188463	"7.47349863817116e-79"	168.3417106519	411.6442857439	"7.47349863817116e-79"
"PRKAR1A"	2.0111080038	1189	0.8419751811	0.1314473217	8.6018374677	0.7073594443	18.1912932428	"1.89659614699825e-65"	137.5491432003	330.923149847	"1.89659614699825e-65"
"PRKAR1A"	1.7732757968	1189	0.6750504634	0.1314473217	9.9755628544	0.4547844184	20.0042261969	"5.45689368785893e-77"	164.0601015023	400.1690657363	"5.45689368785893e-77"
"DSP"	1.9943106038	1189	0.9726657198	0.1314473217	10.9195311945	0.9439033031	15.6162698128	"3.69033827333609e-50"	102.4540446708	243.8678828668	"3.69033827333609e-50"
"RAD21"	0.2724064222	1189	0.9064897725	0.1314473217	8.9683153312	0.8198695977	2.2887228711	0.0222697477	-5.9161021564	5.2382523808	0.0222697477
"RAD21"	1.6362579174	1189	0.6811988619	0.1314473217	9.3063373505	0.4631016419	18.292028068	"4.48975035425506e-66"	138.986210812	334.5982908412	"4.48975035425506e-66"
"WDR1"	1.6377450756	1189	0.3304071562	0.1314473217	10.8140245646	0.1091551974	37.7113735622	"1.67244119964407e-205"	459.6420681475	1422.1476959441	"1.67244119964407e-205"
"NCL"	1.634377729	1189	0.3871333953	0.1314473217	11.0698800861	0.1497534439	32.130115366	"1.13627541817247e-163"	363.392864766	1032.3443134306	"1.13627541817247e-163"
"WDR1"	2.0079812518	1189	0.3599190305	0.1314473217	10.2900393847	0.1294753973	42.4535767606	"1.13849979882913e-240"	540.5620295843	1802.3061797679	"1.13849979882913e-240"
"AP2B1"	1.1042215978	1189	0.6489171113	0.1314473217	9.7745065379	0.4202740732	12.9580065853	"5.05637670383692e-36"	70.0478698548	167.9099346637	"5.05637670383692e-36"
"AP2M1"	2.6940010936	1189	0.447624761	0.1314473217	10.4343902478	0.2001186822	45.8144217011	"3.89903827390553e-265"	596.8573789129	2098.9612358079	"3.89903827390553e-265"
"CLTC"	1.9155821897	1189	0.4387305554	0.1314473217	11.7856754174	0.1922556175	33.2360596562	"5.87496990111337e-172"	382.4575885306	1104.635661472	"5.87496990111337e-172"
"AP2B1"	0.9429836454	1189	0.5673506986	0.1314473217	8.7800497469	0.3213237064	12.6555503278	"1.55414026161392e-34"	66.6415327537	160.1629541006	"1.55414026161392e-34"
"MLEC"	1.6733480661	1189	0.7506376718	0.1314473217	9.6206899152	0.5622698674	16.9770465597	"4.60592024615761e-58"	120.5921213339	288.2201098911	"4.60592024615761e-58"
"MLEC"	1.3944004225	1189	0.4217722235	0.1314473217	10.2380206248	0.1777006165	25.1646733235	"2.00693040414698e-112"	245.5143794378	633.2607834795	"2.00693040414698e-112"
"LASP1"	1.2131912242	1189	0.4929263034	0.1314473217	10.8077254585	0.2426170452	18.7377251354	"7.2581407906058e-69"	145.397305318	351.1023432512	"7.2581407906058e-69"
"SF3B2"	1.7600013102	1189	0.3294191323	0.1314473217	9.8014916459	0.1085049571	40.6477452224	"2.36199751942961e-227"	509.919270541	1652.2391916611	"2.36199751942961e-227"
"TMEM59"	1.5230602114	1189	0.462448998	0.1314473217	11.2082074139	0.2135749859	25.0720669074	"9.20798467235441e-112"	243.992926322	628.6085390098	"9.20798467235441e-112"
"CSRP1"	1.3797052695	1189	0.5491258182	0.1314473217	10.5219257202	0.3010286102	19.1306926599	"2.34272825221836e-71"	151.1193974781	365.9834016473	"2.34272825221836e-71"
